date,valeur,mot_cle
2023-10-01,20,cybersécurité
2023-11-01,22,cybersécurité
2023-12-01,17,cybersécurité
2024-01-01,20,cybersécurité
2024-02-01,24,cybersécurité
2024-03-01,26,cybersécurité
2024-04-01,21,cybersécurité
2024-05-01,20,cybersécurité
2024-06-01,20,cybersécurité
2024-07-01,17,cybersécurité
2024-08-01,13,cybersécurité
2024-09-01,22,cybersécurité
2024-10-01,23,cybersécurité
2024-11-01,21,cybersécurité
2024-12-01,18,cybersécurité
2025-01-01,24,cybersécurité
2025-02-01,100,cybersécurité
2025-03-01,90,cybersécurité
2025-04-01,82,cybersécurité
2025-05-01,18,cybersécurité
2025-06-01,20,cybersécurité
2025-07-01,16,cybersécurité
2025-08-01,13,cybersécurité
2025-09-01,21,cybersécurité
2025-10-01,20,cybersécurité
2025-11-01,20,cybersécurité
2025-12-01,18,cybersécurité
2020-01-01,29,data science
2020-02-01,28,data science
2020-03-01,23,data science
2020-04-01,27,data science
2020-05-01,24,data science
2020-06-01,29,data science
2020-07-01,26,data science
2020-08-01,24,data science
2020-09-01,32,data science
2020-10-01,26,data science
2020-11-01,23,data science
2020-12-01,22,data science
2021-01-01,26,data science
2021-02-01,28,data science
2021-03-01,25,data science
2021-04-01,23,data science
2021-05-01,23,data science
2021-06-01,23,data science
2021-07-01,21,data science
2021-08-01,19,data science
2021-09-01,27,data science
2021-10-01,26,data science
2021-11-01,26,data science
2021-12-01,26,data science
2022-01-01,30,data science
2022-02-01,34,data science
2022-03-01,37,data science
2022-04-01,33,data science
2022-05-01,32,data science
2022-06-01,33,data science
2022-07-01,25,data science
2022-08-01,24,data science
2022-09-01,30,data science
2022-10-01,31,data science
2022-11-01,33,data science
2022-12-01,25,data science
2023-01-01,33,data science
2023-02-01,33,data science
2023-03-01,30,data science
2023-04-01,30,data science
2023-05-01,27,data science
2023-06-01,29,data science
2023-07-01,24,data science
2023-08-01,22,data science
2023-09-01,30,data science
2023-10-01,31,data science
2023-11-01,31,data science
2023-12-01,24,data science
2024-01-01,30,data science
2024-02-01,33,data science
2024-03-01,35,data science
2024-04-01,27,data science
2024-05-01,27,data science
2024-06-01,28,data science
2024-07-01,23,data science
2024-08-01,23,data science
2024-09-01,28,data science
2024-10-01,33,data science
2024-11-01,33,data science
2024-12-01,26,data science
2025-01-01,32,data science
2025-02-01,32,data science
2025-03-01,33,data science
2025-04-01,29,data science
2025-05-01,26,data science
2025-06-01,29,data science
2025-07-01,25,data science
2025-08-01,23,data science
2025-09-01,27,data science
2025-10-01,27,data science
2025-11-01,92,data science
2025-12-01,100,data science
2020-01-01,38,deep learning
2020-02-01,38,deep learning
2020-03-01,33,deep learning
2020-04-01,33,deep learning
2020-05-01,33,deep learning
2020-06-01,39,deep learning
2020-07-01,34,deep learning
2020-08-01,28,deep learning
2020-09-01,34,deep learning
2020-10-01,30,deep learning
2020-11-01,32,deep learning
2020-12-01,29,deep learning
2021-01-01,31,deep learning
2021-02-01,33,deep learning
2021-03-01,34,deep learning
2021-04-01,30,deep learning
2021-05-01,30,deep learning
2021-06-01,27,deep learning
2021-07-01,22,deep learning
2021-08-01,21,deep learning
2021-09-01,29,deep learning
2021-10-01,32,deep learning
2021-11-01,35,deep learning
2021-12-01,30,deep learning
2022-01-01,41,deep learning
2022-02-01,47,deep learning
2022-03-01,49,deep learning
2022-04-01,44,deep learning
2022-05-01,47,deep learning
2022-06-01,41,deep learning
2022-07-01,32,deep learning
2022-08-01,29,deep learning
2022-09-01,34,deep learning
2022-10-01,39,deep learning
2022-11-01,40,deep learning
2022-12-01,34,deep learning
2023-01-01,46,deep learning
2023-02-01,39,deep learning
2023-03-01,44,deep learning
2023-04-01,42,deep learning
2023-05-01,39,deep learning
2023-06-01,34,deep learning
2023-07-01,33,deep learning
2023-08-01,26,deep learning
2023-09-01,32,deep learning
2023-10-01,40,deep learning
2023-11-01,39,deep learning
2023-12-01,36,deep learning
2024-01-01,40,deep learning
2024-02-01,45,deep learning
2024-03-01,46,deep learning
2024-04-01,41,deep learning
2024-05-01,39,deep learning
2024-06-01,38,deep learning
2024-07-01,32,deep learning
2024-08-01,27,deep learning
2024-09-01,33,deep learning
2024-10-01,39,deep learning
2024-11-01,39,deep learning
2024-12-01,32,deep learning
2025-01-01,38,deep learning
2025-02-01,45,deep learning
2025-03-01,41,deep learning
2025-04-01,36,deep learning
2025-05-01,32,deep learning
2025-06-01,39,deep learning
2025-07-01,32,deep learning
2025-08-01,25,deep learning
2025-09-01,32,deep learning
2025-10-01,37,deep learning
2025-11-01,89,deep learning
2025-12-01,100,deep learning
2020-01-01,19,gpu
2020-02-01,18,gpu
2020-03-01,19,gpu
2020-04-01,24,gpu
2020-05-01,23,gpu
2020-06-01,20,gpu
2020-07-01,19,gpu
2020-08-01,19,gpu
2020-09-01,24,gpu
2020-10-01,20,gpu
2020-11-01,27,gpu
2020-12-01,26,gpu
2021-01-01,27,gpu
2021-02-01,27,gpu
2021-03-01,24,gpu
2021-04-01,24,gpu
2021-05-01,21,gpu
2021-06-01,20,gpu
2021-07-01,19,gpu
2021-08-01,20,gpu
2021-09-01,22,gpu
2021-10-01,24,gpu
2021-11-01,25,gpu
2021-12-01,25,gpu
2022-01-01,34,gpu
2022-02-01,32,gpu
2022-03-01,29,gpu
2022-04-01,28,gpu
2022-05-01,26,gpu
2022-06-01,27,gpu
2022-07-01,25,gpu
2022-08-01,26,gpu
2022-09-01,26,gpu
2022-10-01,30,gpu
2022-11-01,32,gpu
2022-12-01,32,gpu
2023-01-01,31,gpu
2023-02-01,35,gpu
2023-03-01,29,gpu
2023-04-01,30,gpu
2023-05-01,28,gpu
2023-06-01,30,gpu
2023-07-01,30,gpu
2023-08-01,31,gpu
2023-09-01,32,gpu
2023-10-01,32,gpu
2023-11-01,33,gpu
2023-12-01,37,gpu
2024-01-01,35,gpu
2024-02-01,39,gpu
2024-03-01,37,gpu
2024-04-01,34,gpu
2024-05-01,34,gpu
2024-06-01,35,gpu
2024-07-01,32,gpu
2024-08-01,35,gpu
2024-09-01,36,gpu
2024-10-01,37,gpu
2024-11-01,39,gpu
2024-12-01,43,gpu
2025-01-01,47,gpu
2025-02-01,48,gpu
2025-03-01,45,gpu
2025-04-01,40,gpu
2025-05-01,42,gpu
2025-06-01,40,gpu
2025-07-01,37,gpu
2025-08-01,43,gpu
2025-09-01,41,gpu
2025-10-01,41,gpu
2025-11-01,98,gpu
2025-12-01,100,gpu
2020-01-01,4,ia
2020-02-01,4,ia
2020-03-01,6,ia
2020-04-01,5,ia
2020-05-01,5,ia
2020-06-01,5,ia
2020-07-01,3,ia
2020-08-01,3,ia
2020-09-01,4,ia
2020-10-01,4,ia
2020-11-01,4,ia
2020-12-01,3,ia
2021-01-01,4,ia
2021-02-01,4,ia
2021-03-01,4,ia
2021-04-01,4,ia
2021-05-01,4,ia
2021-06-01,4,ia
2021-07-01,3,ia
2021-08-01,3,ia
2021-09-01,4,ia
2021-10-01,4,ia
2021-11-01,4,ia
