date,valeur,mot_cle
2021-08-01,57,robot
2021-09-01,58,robot
2021-10-01,61,robot
2021-11-01,84,robot
2021-12-01,76,robot
2022-01-01,73,robot
2022-02-01,59,robot
2022-03-01,65,robot
2022-04-01,66,robot
2022-05-01,71,robot
2022-06-01,59,robot
2022-07-01,56,robot
2022-08-01,52,robot
2022-09-01,49,robot
2022-10-01,61,robot
2022-11-01,77,robot
2022-12-01,65,robot
2023-01-01,62,robot
2023-02-01,52,robot
2023-03-01,58,robot
2023-04-01,74,robot
2023-05-01,78,robot
2023-06-01,60,robot
2023-07-01,56,robot
2023-08-01,52,robot
2023-09-01,51,robot
2023-10-01,52,robot
2023-11-01,74,robot
2023-12-01,71,robot
2024-01-01,59,robot
2024-02-01,54,robot
2024-03-01,61,robot
2024-04-01,67,robot
2024-05-01,69,robot
2024-06-01,62,robot
2024-07-01,61,robot
2024-08-01,56,robot
2024-09-01,55,robot
2024-10-01,87,robot
2024-11-01,88,robot
2024-12-01,78,robot
2025-01-01,64,robot
2025-02-01,62,robot
2025-03-01,73,robot
2025-04-01,86,robot
2025-05-01,88,robot
2025-06-01,75,robot
2025-07-01,63,robot
2025-08-01,66,robot
2025-09-01,61,robot
2025-10-01,63,robot
2025-11-01,100,robot
2025-12-01,82,robot
2020-01-01,45,automatisation
2020-02-01,40,automatisation
2020-03-01,37,automatisation
2020-04-01,35,automatisation
2020-05-01,34,automatisation
2020-06-01,38,automatisation
2020-07-01,36,automatisation
2020-08-01,34,automatisation
2020-09-01,56,automatisation
2020-10-01,51,automatisation
2020-11-01,48,automatisation
2020-12-01,44,automatisation
2021-01-01,45,automatisation
2021-02-01,44,automatisation
2021-03-01,49,automatisation
2021-04-01,44,automatisation
2021-05-01,45,automatisation
2021-06-01,38,automatisation
2021-07-01,39,automatisation
2021-08-01,32,automatisation
2021-09-01,47,automatisation
2021-10-01,43,automatisation
2021-11-01,51,automatisation
2021-12-01,45,automatisation
2022-01-01,54,automatisation
2022-02-01,63,automatisation
2022-03-01,59,automatisation
2022-04-01,54,automatisation
2022-05-01,59,automatisation
